David Bier,@David_J_Bier,"@CatoInstitute Immigration Studies. Cato, not CATO. ""Beer,"" not Buyer. Libertarian. "
Greg Siskind,@gsiskind,"Immigration lawyer with 1st website, blog & AI apps. Authored 8 books. ABA Law Practice Mag columnist.  http://Disclaimer-bit.ly/3EEsGGI"
Rohit Sharma,@DcWalaDesi,"Covering White House| State Department | Pentagon| Bylines- Dainik Bhaskar | Guest contributor BBC, AajTak, TimesNow, IndiaToday, ZeeNews, Republic, TV9 Network"
Curtis Morrison,@curtismorrison,"Immigration attorney focused on mandamus litigation. Accepting new clients. Licensed in California and Washington, DC. https://telegram.im/@curtisatlaw"
Green Card Backlog Coalition,@GCBCoalition,We are a coalition of individuals in the employment green card backlog advocating to pass the Equal Access to Green cards for Legal Employment Act - H.R.3648.
Homeland Security,@DHSgov,"With honor and integrity, we will safeguard the American people, our homeland, and our values. #WeAreDHS, led by @SecMayorkas and @DepSecTien."
Ellen M. Gilmer,@ellengilmer,Homeland security reporter for Bloomberg Government @bgov | @guildatBIG member | egilmer@bloomberg.net
Kia @ Back of the ,@kiabms5,"Follow me in the fight for equality. This way my messages will reach you.
Find shareable content related to our struggle at https://GreencardUS.org"
H1bian,@SriGaussian,"About nationality discrimination in EB visa allocation and dehumanization of H1B workers. Life, liberty, and the pursuit of happiness. (Formerly MythBuster)"
CBP,@CBP,U.S. Customs and Border Protection (CBP) is charged with securing our nation's borders & facilitating lawful international travel & trade.
Charles Kuck,@ckuck,"Immigration Lawyer, Law Professor, Advocate for Immigrants and Immigration Reform. Find me on Mastadon @chuckk@toot.community or Post @CharlesKuck"
National Immigration Forum,@NatImmForum,"We work with community leaders across the country to advocate for immigration reform that works for all of us.
Support our work: https://bit.ly/eoy22_tw"
Ajay Manchanda,@BaldwinSpeaks,Refuse to tolerate discrimination. Engaged in struggle to repeal national origin based country caps in immigration. Was previously @ustechworker
#SaveDiversityVisa ,@sDiversityVisa,"We are humans, not just case numbers!"
Suzanne Monyak,@SuzanneMonyak,"Reporter covering immigration & homeland security @CQnow/@rollcall. Proud Georgetown alum, Georgia native. Send me tips: suzannemonyak@cqrollcall.com"
Aaron Reichlin-Melnick,@ReichlinMelnick,"Policy Director at @immcouncil. Formerly immigration lawyer at @LegalAidNYC through @IJCorps. In case of Twitter collapse, @ReichlinMelnick@mastodon.social"
Cyrus Mehta,@cyrusmehta,"US Immigration Attorney, Owner of Immigration Law Firm, Blogger, Speaker, Adjunct Professor."
